title;system;thumbnail
14 Juillet (World) (Fr) (Aftermarket) (Unl);gb;
3 Choume no Tama - Tama and Friends - 3 Choume Obake Panic!! (Japan);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/3%20Choume%20no%20Tama%20-%20Tama%20and%20Friends%20-%203%20Choume%20Obake%20Panic!!%20(Japan).png
3-pun Yosou - Umaban Club (Japan);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/3-pun%20Yosou%20-%20Umaban%20Club%20(Japan).png
"4 in 1 (Europe) (4B-002, Sachen) (Unl)";gb;"https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/4%20in%201%20(Europe)%20(4B-002,%20Sachen)%20(Unl).png"
"4 in 1 (Europe) (4B-005, Sachen-Commin) (Unl)";gb;"https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/4%20in%201%20(Europe)%20(4B-002,%20Sachen)%20(Unl).png"
"4 in 1 (Europe) (4B-007, Sachen) (Unl)";gb;"https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/4%20in%201%20(Europe)%20(4B-002,%20Sachen)%20(Unl).png"
"4 in 1 (Europe) (4B-001, Sachen-Commin) (Unl)";gb;"https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/4%20in%201%20(Europe)%20(4B-002,%20Sachen)%20(Unl).png"
"4 in 1 (Europe) (4B-008, Sachen) (Unl)";gb;"https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/4%20in%201%20(Europe)%20(4B-002,%20Sachen)%20(Unl).png"
"4 in 1 (Europe) (4B-004, Sachen-Commin) (Unl)";gb;"https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/4%20in%201%20(Europe)%20(4B-002,%20Sachen)%20(Unl).png"
"4 in 1 (Europe) (4B-006, Sachen) (Unl)";gb;"https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/4%20in%201%20(Europe)%20(4B-002,%20Sachen)%20(Unl).png"
"4 in 1 (Europe) (4B-009, Sachen) (Unl)";gb;"https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/4%20in%201%20(Europe)%20(4B-002,%20Sachen)%20(Unl).png"
4-in-1 Fun Pak (Japan);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/4-in-1%20Fun%20Pak%20(Japan).png
"4-in-1 Fun Pak (USA, Europe)";gb;"https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/4-in-1%20Fun%20Pak%20(USA,%20Europe).png"
"4-in-1 Funpak - Volume II (USA, Europe)";gb;
A-mazing Tater (USA);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/A-mazing%20Tater%20(USA).png
Aa Harimanada (Japan);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Aa%20Harimanada%20(Japan).png
Action Replay Pro (World);gb;
"Addams Family, The (Europe) (En,Fr,De)";gb;"https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Addams%20Family,%20The%20(Europe)%20(En,Fr,De).png"
"Addams Family, The (Japan)";gb;"https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Addams%20Family,%20The%20(Japan).png"
"Addams Family, The (USA)";gb;"https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Addams%20Family,%20The%20(USA).png"
"Addams Family, The - Pugsley's Scavenger Hunt (USA, Europe)";gb;"https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Addams%20Family,%20The%20-%20Pugsley's%20Scavenger%20Hunt%20(USA,%20Europe).png"
Adulting! (World) (v2.0) (Aftermarket) (Unl);gb;
"Adventure Island (USA, Europe)";gb;"https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Adventure%20Island%20(USA,%20Europe).png"
"Adventure Island II - Aliens in Paradise (USA, Europe)";gb;"https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Adventure%20Island%20II%20-%20Aliens%20in%20Paradise%20(USA,%20Europe).png"
Adventures of Lolo (Europe) (SGB Enhanced);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Adventures%20of%20Lolo%20(Europe)%20(SGB%20Enhanced).png
"Adventures of Rocky and Bullwinkle and Friends, The (USA)";gb;"https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Adventures%20of%20Rocky%20and%20Bullwinkle%20and%20Friends,%20The%20(USA).png"
"Adventures of Star Saver, The (USA, Europe)";gb;"https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Adventures%20of%20Star%20Saver,%20The%20(USA,%20Europe).png"
Aerostar (Japan);gb;"https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Aerostar%20(USA,%20Europe).png"
"Aerostar (USA, Europe)";gb;"https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Aerostar%20(USA,%20Europe).png"
After Burst (Japan);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/After%20Burst%20(Japan).png
Agro Soar (Australia);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Agro%20Soar%20(Australia).png
Akazukin Chacha (Japan) (SGB Enhanced);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Akazukin%20Chacha%20(Japan)%20(SGB%20Enhanced).png
Akumajou Dracula - Shikkoku Taru Zensoukyoku - Dark Night Prelude (Japan) (SGB Enhanced);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Akumajou%20Dracula%20-%20Shikkoku%20Taru%20Zensoukyoku%20-%20Dark%20Night%20Prelude%20(Japan)%20(SGB%20Enhanced).png
Akumajou Special - Boku Dracula-kun (Japan);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Akumajou%20Special%20-%20Boku%20Dracula-kun%20(Japan).png
Aladdin (Europe) (SGB Enhanced);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Aladdin%20(Europe)%20(SGB%20Enhanced).png
Aladdin (USA) (SGB Enhanced);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Aladdin%20(USA)%20(SGB%20Enhanced).png
Aladdin (World) (Disney Classic Games) (SGB Enhanced);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Aladdin%20(USA)%20(SGB%20Enhanced).png
Alfred Chicken (Europe);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Alfred%20Chicken%20(Europe).png
Alfred Chicken (Japan) (SGB Enhanced);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Alfred%20Chicken%20(Japan)%20(SGB%20Enhanced).png
Alfred Chicken (USA);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Alfred%20Chicken%20(USA).png
Alien 3 (Japan);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Alien%203%20(Japan).png
"Alien 3 (USA, Europe)";gb;"https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Alien%203%20(USA,%20Europe).png"
Alien Olympics (Europe);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Alien%20Olympics%20(Europe).png
Alien vs Predator (Japan);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Alien%20vs%20Predator%20(Japan).png
Alien vs Predator - The Last of His Clan (USA);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Alien%20vs%20Predator%20-%20The%20Last%20of%20His%20Clan%20(USA).png
All-Star Baseball 99 (USA);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/All-Star%20Baseball%2099%20(USA).png
Alleyway (World);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Alleyway%20(World).png
Alphamax (World) (Aftermarket) (Unl);gb;
Altered Space - A 3-D Alien Adventure (Europe);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Altered%20Space%20-%20A%203-D%20Alien%20Adventure%20(Europe).png
Altered Space - A 3-D Alien Adventure (Japan);gb;https://raw.githubusercontent.com/libretro/libretro-thumbnails/master/Nintendo%20-%20Game%20Boy/Named_Titles/Altered%20Space%20-%20A%203-D%20Alien%20Adventure%20(Japan).png
